record_id,contract_id,clause_text,primary_category,all_categories,is_multilabel,matched_keywords,token_count_approx,category_risk_signal,model_confidence,template_deviation_signal,keyword_risk_signal,risk_score,advisor_risk_label,dataset_split,source_type
147,CTR-10147,"A party may terminate immediately for an uncured terminate. During the competing business of 3 years, Supplier shall not provide equivalent services to named competitors.",Termination,Termination|Non-Compete,True,terminate|competing business,25,1.0,0.77,0.44,0.65,74.4,High,Train,Synthetic
148,CTR-10148,The recipient must not disclose proprietary information to any third party without prior written consent.,Confidentiality,Confidentiality,False,proprietary information,15,0.4,0.77,0.27,0.34,43.0,Low,Train,Synthetic
149,CTR-10149,Assignment following a change of control requires notice to the customer.,Assignment,Assignment,False,change of control,11,0.4,0.84,0.21,0.27,41.4,Low,Train,Synthetic
150,CTR-10150,Interpretation shall follow the governed by New York.,Governing Law,Governing Law,False,governed by,8,0.2,0.76,0.16,0.1,28.2,Low,Train,Synthetic
151,CTR-10151,Customer may exercise material breach without cause by providing written notice.,Termination,Termination,False,material breach,11,0.6,0.75,0.33,0.4,52.2,Medium,Train,Synthetic
152,CTR-10152,Supplier shall process security incident only on documented instructions from Customer.,Data Privacy,Data Privacy,False,security incident,11,0.8,0.8,0.45,0.65,68.2,Medium,Train,Synthetic
153,CTR-10153,"Upon request, Supplier shall provide a current cyber insurance.",Insurance,Insurance,False,cyber insurance,9,0.6,0.96,0.58,0.39,62.5,Medium,Train,Synthetic
154,CTR-10154,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.75,0.34,0.25,42.5,Low,Train,Synthetic
155,CTR-10155,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.92,0.18,0.24,41.7,Low,Validation,Synthetic
156,CTR-10156,Interpretation shall follow the governed by New York.,Governing Law,Governing Law,False,governed by,8,0.2,0.95,0.04,0.19,30.8,Low,Validation,Synthetic
157,CTR-10157,Obligations concerning non-disclosure survive termination for 1 years.,Confidentiality,Confidentiality,False,non-disclosure,9,0.4,0.77,0.5,0.21,46.1,Medium,Validation,Synthetic
158,CTR-10158,Either party may termination for convenience this agreement upon 15 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.93,0.52,0.51,62.8,Medium,Test,Synthetic
159,CTR-10159,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.93,0.32,0.26,45.8,Medium,Test,Synthetic
160,CTR-10160,Obligations concerning non-disclosure survive termination for 3 years.,Confidentiality,Confidentiality,False,non-disclosure,9,0.4,0.8,0.15,0.2,37.8,Low,Test,Synthetic
161,CTR-10161,"This agreement is exclusive jurisdiction the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,exclusive jurisdiction,17,0.2,0.71,0.03,0.16,25.1,Low,Train,Synthetic
162,CTR-10162,A party may terminate immediately for an uncured terminate.,Termination,Termination,False,terminate,9,0.6,0.8,0.34,0.43,54.1,Medium,Train,Synthetic
163,CTR-10163,"Supplier shall maintain commercial general liability insurance with limits of at least $1,000,000 during the term.",Insurance,Insurance,False,commercial general liability insurance,18,0.6,0.85,0.5,0.38,58.1,Medium,Train,Synthetic
164,CTR-10164,This obligation applies to third-party claims resulting from Supplier negligence.,Indemnification,Indemnification,False,third-party claims,11,1.0,0.85,0.51,0.57,76.1,High,Train,Synthetic
165,CTR-10165,The aggregate consequential damages shall not exceed fees paid during the prior 24 months.,Limitation of Liability,Limitation of Liability,False,consequential damages,14,0.8,0.93,0.67,0.53,74.0,High,Train,Synthetic
166,CTR-10166,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.67,0.36,0.26,41.6,Low,Train,Synthetic
167,CTR-10167,"This agreement is laws of the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,laws of,17,0.2,0.95,0.2,0.22,35.4,Low,Train,Synthetic
168,CTR-10168,Obligations concerning non-disclosure survive termination for 7 years.,Confidentiality,Confidentiality,False,non-disclosure,9,0.4,0.93,0.22,0.23,42.7,Low,Train,Synthetic
169,CTR-10169,"This agreement is laws of the State of California, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,laws of,16,0.2,0.77,0.02,0.13,25.5,Low,Train,Synthetic
170,CTR-10170,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.89,0.29,0.33,45.6,Medium,Train,Synthetic
171,CTR-10171,The aggregate consequential damages shall not exceed fees paid during the prior 18 months.,Limitation of Liability,Limitation of Liability,False,consequential damages,14,0.8,0.94,0.42,0.44,66.1,Medium,Train,Synthetic
172,CTR-10172,The recipient must not disclose proprietary information to any third party without prior written consent.,Confidentiality,Confidentiality,False,proprietary information,15,0.4,0.94,0.48,0.26,50.0,Medium,Train,Synthetic
173,CTR-10173,"Supplier shall maintain certificate of insurance with limits of at least $2,000,000 during the term. Either party may terminate this agreement upon 60 days written notice.",Insurance,Insurance|Termination,True,certificate of insurance|terminate,28,0.6,0.9,0.54,0.45,61.5,Medium,Train,Synthetic
174,CTR-10174,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.76,0.13,0.34,39.2,Low,Train,Synthetic
175,CTR-10175,Interpretation shall follow the exclusive jurisdiction California.,Governing Law,Governing Law,False,exclusive jurisdiction,7,0.2,0.73,0.21,0.12,29.2,Low,Validation,Synthetic
176,CTR-10176,"Interpretation shall follow the governed by California. During the non-compete of 5 years, Supplier shall not provide equivalent services to named competitors.",Governing Law,Governing Law|Non-Compete,True,governed by|non-compete,23,1.0,0.68,0.66,0.79,80.9,High,Validation,Synthetic
177,CTR-10177,"Supplier shall obtain prior written consent before transferring its obligations. This agreement is exclusive jurisdiction the State of Texas, without regard to conflict-of-law principles.",Assignment,Assignment|Governing Law,True,prior written consent|exclusive jurisdiction,26,0.4,0.7,0.14,0.28,37.1,Low,Validation,Synthetic
178,CTR-10178,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.93,0.19,0.26,42.5,Low,Test,Synthetic
179,CTR-10179,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.96,0.33,0.21,45.6,Medium,Test,Synthetic
180,CTR-10180,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.65,0.43,0.51,54.9,Medium,Test,Synthetic
181,CTR-10181,The parties submit to the governed by of courts located in New York.,Governing Law,Governing Law,False,governed by,13,0.2,0.85,0.31,0.11,34.0,Low,Train,Synthetic
182,CTR-10182,"Supplier shall maintain commercial general liability insurance with limits of at least $2,000,000 during the term.",Insurance,Insurance,False,commercial general liability insurance,18,0.6,0.68,0.5,0.35,54.1,Medium,Train,Synthetic
183,CTR-10183,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.92,0.42,0.24,47.7,Medium,Train,Synthetic
184,CTR-10184,"Supplier shall maintain cyber insurance with limits of at least $5,000,000 during the term.",Insurance,Insurance,False,cyber insurance,16,0.6,0.68,0.26,0.39,48.9,Medium,Train,Synthetic
185,CTR-10185,Obligations concerning proprietary information survive termination for 1 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.68,0.13,0.25,35.9,Low,Train,Synthetic
186,CTR-10186,Coverage shall include certificate of insurance issued by a reputable carrier.,Insurance,Insurance,False,certificate of insurance,11,0.6,0.65,0.58,0.39,56.3,Medium,Train,Synthetic
187,CTR-10187,Supplier shall process personal data only on documented instructions from Customer.,Data Privacy,Data Privacy,False,personal data,11,0.8,0.8,0.59,0.49,68.5,Medium,Train,Synthetic
188,CTR-10188,Supplier shall third-party claims Customer against losses arising from intellectual property infringement. An inspection rights may review Supplier’s compliance once per calendar year.,Indemnification,Indemnification|Audit Rights,True,third-party claims|inspection rights,25,1.0,0.73,0.79,0.66,82.5,High,Train,Synthetic
189,CTR-10189,"Upon request, Supplier shall provide a current certificate of insurance.",Insurance,Insurance,False,certificate of insurance,10,0.6,0.94,0.37,0.35,56.0,Medium,Train,Synthetic
190,CTR-10190,The aggregate liability cap shall not exceed fees paid during the prior 24 months.,Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.82,0.51,0.5,67.2,Medium,Train,Synthetic
191,CTR-10191,Supplier shall notify Customer of a personal data within 48 hours. Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Data Privacy,Data Privacy|Confidentiality,True,personal data|confidential information,29,0.8,0.78,0.49,0.44,64.7,Medium,Train,Synthetic
192,CTR-10192,The parties shall comply with applicable personal data and maintain appropriate safeguards.,Data Privacy,Data Privacy,False,personal data,12,0.8,0.78,0.67,0.45,69.3,Medium,Train,Synthetic
193,CTR-10193,Interpretation shall follow the exclusive jurisdiction California.,Governing Law,Governing Law,False,exclusive jurisdiction,7,0.2,0.81,0.11,0.15,29.0,Low,Train,Synthetic
194,CTR-10194,The aggregate liability cap shall not exceed fees paid during the prior 6 months.,Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.77,0.68,0.52,70.8,High,Train,Synthetic
195,CTR-10195,"Neither party is liable for indirect or consequential damages, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,consequential damages,14,0.8,0.95,0.39,0.49,66.5,Medium,Validation,Synthetic
196,CTR-10196,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.86,0.55,0.37,59.4,Medium,Validation,Synthetic
197,CTR-10197,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.77,0.67,0.44,69.0,Medium,Validation,Synthetic
198,CTR-10198,"Obligations concerning confidential information survive termination for 1 years. Supplier shall maintain cyber insurance with limits of at least $2,000,000 during the term.",Confidentiality,Confidentiality|Insurance,True,confidential information|cyber insurance,25,0.6,0.71,0.29,0.38,50.0,Medium,Test,Synthetic
199,CTR-10199,The aggregate unlimited liability shall not exceed fees paid during the prior 24 months.,Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.77,0.52,0.58,68.0,Medium,Test,Synthetic
200,CTR-10200,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.94,0.21,0.33,44.6,Low,Test,Synthetic
201,CTR-10201,This obligation applies to third-party claims resulting from Supplier negligence. Supplier shall notify Customer of a data protection laws within 24 hours.,Indemnification,Indemnification|Data Privacy,True,third-party claims|data protection laws,23,1.0,0.58,0.69,0.68,77.5,High,Train,Synthetic
202,CTR-10202,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.75,0.29,0.38,50.8,Medium,Train,Synthetic
203,CTR-10203,Supplier shall retain documentation supporting Customer’s audit records for 2 years.,Audit Rights,Audit Rights,False,audit records,12,0.6,0.83,0.36,0.32,53.0,Medium,Train,Synthetic
204,CTR-10204,Either party may termination for convenience this agreement upon 45 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.86,0.25,0.61,56.6,Medium,Train,Synthetic
205,CTR-10205,Supplier shall obtain assign before transferring its obligations.,Assignment,Assignment,False,assign,8,0.4,0.88,0.44,0.26,47.8,Medium,Train,Synthetic
206,CTR-10206,The recipient must not disclose confidential information to any third party without prior written consent.,Confidentiality,Confidentiality,False,confidential information,15,0.4,0.78,0.21,0.29,40.6,Low,Train,Synthetic
207,CTR-10207,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.69,0.2,0.2,36.8,Low,Train,Synthetic
208,CTR-10208,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.76,0.63,0.66,72.2,High,Train,Synthetic
209,CTR-10209,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.78,0.37,0.54,63.6,Medium,Train,Synthetic
210,CTR-10210,Interpretation shall follow the governed by California.,Governing Law,Governing Law,False,governed by,7,0.2,0.97,0.12,0.16,32.6,Low,Train,Synthetic
211,CTR-10211,Either party may material breach this agreement upon 30 days written notice.,Termination,Termination,False,material breach,12,0.6,0.73,0.35,0.32,50.7,Medium,Train,Synthetic
212,CTR-10212,"This agreement is exclusive jurisdiction the State of New York, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,exclusive jurisdiction,17,0.2,0.9,0.15,0.18,32.4,Low,Train,Synthetic
213,CTR-10213,The aggregate liability cap shall not exceed fees paid during the prior 6 months.,Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.81,0.66,0.5,70.7,High,Train,Synthetic
214,CTR-10214,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know. Interpretation shall follow the exclusive jurisdiction Texas.,Confidentiality,Confidentiality|Governing Law,True,non-disclosure|exclusive jurisdiction,25,0.4,0.82,0.27,0.32,43.5,Low,Train,Synthetic
215,CTR-10215,"Upon request, Supplier shall provide a current commercial general liability insurance. Assignment following a assign requires notice to the customer.",Insurance,Insurance|Assignment,True,commercial general liability insurance|assign,20,0.6,0.88,0.47,0.4,58.4,Medium,Validation,Synthetic
216,CTR-10216,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.7,0.14,0.29,37.3,Low,Validation,Synthetic
217,CTR-10217,The parties submit to the governed by of courts located in California.,Governing Law,Governing Law,False,governed by,12,0.2,0.72,0.35,0.19,33.9,Low,Validation,Synthetic
218,CTR-10218,This obligation applies to indemnify resulting from Supplier negligence.,Indemnification,Indemnification,False,indemnify,9,1.0,0.73,0.75,0.6,80.3,High,Test,Synthetic
219,CTR-10219,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.76,0.32,0.2,41.2,Low,Test,Synthetic
220,CTR-10220,Each party shall protect proprietary information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,proprietary information,18,0.4,0.85,0.36,0.31,46.2,Medium,Test,Synthetic
221,CTR-10221,"Neither party is liable for indirect or unlimited liability, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,unlimited liability,14,0.8,0.94,0.4,0.6,68.8,Medium,Train,Synthetic
222,CTR-10222,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.78,0.13,0.32,39.2,Low,Train,Synthetic
223,CTR-10223,Either party may termination for convenience this agreement upon 30 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.91,0.41,0.6,61.5,Medium,Train,Synthetic
224,CTR-10224,Interpretation shall follow the governed by New York.,Governing Law,Governing Law,False,governed by,8,0.2,0.94,0.16,0.16,33.0,Low,Train,Synthetic
225,CTR-10225,The parties submit to the laws of of courts located in New York.,Governing Law,Governing Law,False,laws of,13,0.2,0.8,0.19,0.09,29.5,Low,Train,Synthetic
226,CTR-10226,Interpretation shall follow the governed by New York. Customer may independent auditor on reasonable notice during normal business hours.,Governing Law,Governing Law|Audit Rights,True,governed by|independent auditor,19,0.6,0.85,0.28,0.42,53.4,Medium,Train,Synthetic
227,CTR-10227,Neither party may assign this agreement without the other party’s prior written consent.,Assignment,Assignment,False,assign,14,0.4,0.86,0.21,0.28,42.0,Low,Train,Synthetic
228,CTR-10228,Coverage shall include certificate of insurance issued by a reputable carrier. Either party may terminate this agreement upon 90 days written notice.,Insurance,Insurance|Termination,True,certificate of insurance|terminate,22,0.6,0.72,0.25,0.35,48.6,Medium,Train,Synthetic
229,CTR-10229,Either party may terminate this agreement upon 15 days written notice.,Termination,Termination,False,terminate,11,0.6,0.64,0.25,0.44,48.9,Medium,Train,Synthetic
230,CTR-10230,Supplier shall obtain assign before transferring its obligations.,Assignment,Assignment,False,assign,8,0.4,0.69,0.33,0.31,42.2,Low,Train,Synthetic
231,CTR-10231,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.7,0.17,0.25,37.2,Low,Train,Synthetic
232,CTR-10232,Either party may termination for convenience this agreement upon 10 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.81,0.24,0.53,53.8,Medium,Train,Synthetic
233,CTR-10233,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.76,0.19,0.2,38.0,Low,Train,Synthetic
234,CTR-10234,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.71,0.55,0.54,59.8,Medium,Train,Synthetic
235,CTR-10235,Customer may exercise material breach without cause by providing written notice.,Termination,Termination,False,material breach,11,0.6,0.71,0.26,0.45,50.7,Medium,Validation,Synthetic
236,CTR-10236,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.83,0.36,0.37,54.0,Medium,Validation,Synthetic
237,CTR-10237,The parties shall comply with applicable security incident and maintain appropriate safeguards.,Data Privacy,Data Privacy,False,security incident,12,0.8,0.68,0.47,0.59,65.1,Medium,Validation,Synthetic
238,CTR-10238,Supplier shall obtain change of control before transferring its obligations.,Assignment,Assignment,False,change of control,10,0.4,0.77,0.21,0.25,39.6,Low,Test,Synthetic
239,CTR-10239,Supplier shall obtain change of control before transferring its obligations. Supplier accepts consequential damages for losses arising from breach of security obligations.,Assignment,Assignment|Limitation of Liability,True,change of control|consequential damages,22,0.8,0.61,0.6,0.48,64.8,Medium,Test,Synthetic
240,CTR-10240,"This agreement is governed by the State of New Jersey, without regard to conflict-of-law principles. A party may terminate immediately for an uncured material breach.",Governing Law,Governing Law|Termination,True,governed by|material breach,27,0.6,0.62,0.34,0.35,48.9,Medium,Test,Synthetic
241,CTR-10241,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.95,0.39,0.55,67.8,Medium,Train,Synthetic
242,CTR-10242,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.92,0.23,0.52,55.6,Medium,Train,Synthetic
243,CTR-10243,Customer may independent auditor on reasonable notice during normal business hours. Supplier shall notify Customer of a security incident within 72 hours.,Audit Rights,Audit Rights|Data Privacy,True,independent auditor|security incident,22,0.8,0.71,0.68,0.69,73.0,High,Train,Synthetic
244,CTR-10244,Obligations concerning proprietary information survive termination for 5 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.95,0.31,0.24,45.5,Medium,Train,Synthetic
245,CTR-10245,The parties submit to the laws of of courts located in New York. Obligations concerning confidential information survive termination for 1 years.,Governing Law,Governing Law|Confidentiality,True,laws of|confidential information,22,0.4,0.69,0.49,0.2,44.0,Low,Train,Synthetic
246,CTR-10246,A party may terminate immediately for an uncured termination for convenience.,Termination,Termination,False,termination for convenience,11,0.6,0.95,0.55,0.59,65.5,Medium,Train,Synthetic
247,CTR-10247,An audit records may review Supplier’s compliance once per calendar year.,Audit Rights,Audit Rights,False,audit records,12,0.6,0.82,0.39,0.42,55.5,Medium,Train,Synthetic
248,CTR-10248,Coverage shall include commercial general liability insurance issued by a reputable carrier.,Insurance,Insurance,False,commercial general liability insurance,12,0.6,0.73,0.33,0.32,50.2,Medium,Train,Synthetic
249,CTR-10249,"Neither party is liable for indirect or liability cap, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.72,0.51,0.51,65.3,Medium,Train,Synthetic
250,CTR-10250,Customer may exercise termination for convenience without cause by providing written notice.,Termination,Termination,False,termination for convenience,12,0.6,0.69,0.25,0.57,52.4,Medium,Train,Synthetic
251,CTR-10251,"Assignment following a change of control requires notice to the customer. During the non-compete of 1 years, Supplier shall not provide equivalent services to named competitors.",Assignment,Assignment|Non-Compete,True,change of control|non-compete,27,1.0,0.66,0.75,0.73,81.5,High,Train,Synthetic
252,CTR-10252,"This agreement is exclusive jurisdiction the State of New Jersey, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,exclusive jurisdiction,17,0.2,0.96,0.14,0.14,32.5,Low,Train,Synthetic
253,CTR-10253,The parties submit to the governed by of courts located in New Jersey.,Governing Law,Governing Law,False,governed by,13,0.2,0.85,0.09,0.15,29.2,Low,Train,Synthetic
254,CTR-10254,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.66,0.31,0.31,41.1,Low,Train,Synthetic
255,CTR-10255,Customer may independent auditor on reasonable notice during normal business hours.,Audit Rights,Audit Rights,False,independent auditor,11,0.6,0.89,0.38,0.46,57.5,Medium,Validation,Synthetic
256,CTR-10256,Obligations concerning proprietary information survive termination for 3 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.96,0.31,0.2,44.9,Low,Validation,Synthetic
257,CTR-10257,Either party may terminate this agreement upon 30 days written notice. The parties shall comply with applicable data protection laws and maintain appropriate safeguards.,Termination,Termination|Data Privacy,True,terminate|data protection laws,24,0.8,0.63,0.38,0.54,60.9,Medium,Validation,Synthetic
258,CTR-10258,Neither party may assign this agreement without the other party’s prior written consent.,Assignment,Assignment,False,assign,14,0.4,0.78,0.14,0.34,39.9,Low,Test,Synthetic
259,CTR-10259,Customer may exercise terminate without cause by providing written notice. Interpretation shall follow the laws of Texas.,Termination,Termination|Governing Law,True,terminate|laws of,17,0.6,0.71,0.44,0.32,52.6,Medium,Test,Synthetic
260,CTR-10260,Customer may exercise material breach without cause by providing written notice.,Termination,Termination,False,material breach,11,0.6,0.84,0.25,0.46,53.2,Medium,Test,Synthetic
261,CTR-10261,Either party may terminate this agreement upon 90 days written notice.,Termination,Termination,False,terminate,11,0.6,0.84,0.48,0.39,57.6,Medium,Train,Synthetic
262,CTR-10262,Supplier shall obtain assign before transferring its obligations.,Assignment,Assignment,False,assign,8,0.4,0.78,0.2,0.27,40.0,Low,Train,Synthetic
263,CTR-10263,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.75,0.26,0.27,40.9,Low,Train,Synthetic
264,CTR-10264,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.82,0.37,0.23,44.2,Low,Train,Synthetic
265,CTR-10265,A party may terminate immediately for an uncured material breach. The recipient must not disclose non-disclosure to any third party without prior written consent.,Termination,Termination|Confidentiality,True,material breach|non-disclosure,25,0.6,0.81,0.27,0.39,51.8,Medium,Train,Synthetic
266,CTR-10266,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.79,0.27,0.26,41.8,Low,Train,Synthetic
267,CTR-10267,The parties shall comply with applicable security incident and maintain appropriate safeguards.,Data Privacy,Data Privacy,False,security incident,12,0.8,0.78,0.54,0.66,70.3,High,Train,Synthetic
268,CTR-10268,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.78,0.26,0.22,40.5,Low,Train,Synthetic
269,CTR-10269,A party may terminate immediately for an uncured termination for convenience. The parties submit to the exclusive jurisdiction of courts located in Delaware.,Termination,Termination|Governing Law,True,termination for convenience|exclusive jurisdiction,23,0.6,0.82,0.28,0.55,55.4,Medium,Train,Synthetic
270,CTR-10270,The recipient must not disclose non-disclosure to any third party without prior written consent.,Confidentiality,Confidentiality,False,non-disclosure,15,0.4,0.92,0.42,0.33,49.5,Medium,Train,Synthetic
271,CTR-10271,Either party may termination for convenience this agreement upon 45 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.95,0.4,0.6,62.0,Medium,Train,Synthetic
272,CTR-10272,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know. Supplier shall third-party claims Customer against losses arising from intellectual property infringement.,Confidentiality,Confidentiality|Indemnification,True,non-disclosure|third-party claims,31,1.0,0.79,0.47,0.62,74.9,High,Train,Synthetic
273,CTR-10273,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.63,0.25,0.36,47.0,Medium,Train,Synthetic
274,CTR-10274,Either party may material breach this agreement upon 15 days written notice.,Termination,Termination,False,material breach,12,0.6,0.69,0.31,0.32,48.9,Medium,Train,Synthetic
275,CTR-10275,Neither party may change of control this agreement without the other party’s prior written consent.,Assignment,Assignment,False,change of control,16,0.4,0.94,0.44,0.3,49.8,Medium,Validation,Synthetic
276,CTR-10276,"The recipient must not disclose confidential information to any third party without prior written consent. Neither party is liable for indirect or consequential damages, except where prohibited by law.",Confidentiality,Confidentiality|Limitation of Liability,True,confidential information|consequential damages,29,0.8,0.71,0.64,0.5,68.2,Medium,Validation,Synthetic
277,CTR-10277,Supplier shall process personal data only on documented instructions from Customer.,Data Privacy,Data Privacy,False,personal data,11,0.8,0.64,0.65,0.58,68.7,Medium,Validation,Synthetic
278,CTR-10278,Obligations concerning confidential information survive termination for 1 years.,Confidentiality,Confidentiality,False,confidential information,9,0.4,0.76,0.13,0.25,37.5,Low,Test,Synthetic
279,CTR-10279,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.84,0.35,0.47,62.9,Medium,Test,Synthetic
280,CTR-10280,Each party shall protect proprietary information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,proprietary information,18,0.4,0.73,0.29,0.19,39.6,Low,Test,Synthetic
281,CTR-10281,Each party shall protect non-disclosure and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,non-disclosure,18,0.4,0.92,0.38,0.23,46.5,Medium,Train,Synthetic
282,CTR-10282,Each party shall protect proprietary information and may disclose it only to personnel with a need to know. Assignment following a assign requires notice to the customer.,Confidentiality,Confidentiality|Assignment,True,proprietary information|assign,27,0.4,0.83,0.28,0.29,43.4,Low,Train,Synthetic
283,CTR-10283,A party may terminate immediately for an uncured termination for convenience. Neither party may prior written consent this agreement without the other party’s prior written consent.,Termination,Termination|Assignment,True,termination for convenience|prior written consent,27,0.6,0.8,0.59,0.47,61.2,Medium,Train,Synthetic
284,CTR-10284,"Neither party is liable for indirect or liability cap, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.97,0.55,0.47,70.5,High,Train,Synthetic
285,CTR-10285,The parties submit to the exclusive jurisdiction of courts located in New Jersey.,Governing Law,Governing Law,False,exclusive jurisdiction,13,0.2,0.7,0.06,0.18,26.1,Low,Train,Synthetic
286,CTR-10286,Supplier accepts consequential damages for losses arising from breach of security obligations.,Limitation of Liability,Limitation of Liability,False,consequential damages,12,0.8,0.82,0.59,0.45,68.2,Medium,Train,Synthetic
287,CTR-10287,Obligations concerning proprietary information survive termination for 7 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.95,0.16,0.28,42.6,Low,Train,Synthetic
288,CTR-10288,"Neither party is liable for indirect or liability cap, except where prohibited by law.",Limitation of Liability,Limitation of Liability,False,liability cap,14,0.8,0.87,0.51,0.51,68.3,Medium,Train,Synthetic
289,CTR-10289,Participation in a restricted period during the term requires prior approval.,Non-Compete,Non-Compete,False,restricted period,11,1.0,0.84,0.7,0.68,82.9,High,Train,Synthetic
290,CTR-10290,Assignment following a prior written consent requires notice to the customer.,Assignment,Assignment,False,prior written consent,11,0.4,0.87,0.16,0.29,41.2,Low,Train,Synthetic
291,CTR-10291,Customer may exercise terminate without cause by providing written notice.,Termination,Termination,False,terminate,10,0.6,0.77,0.45,0.46,56.9,Medium,Train,Synthetic
292,CTR-10292,Obligations concerning confidential information survive termination for 5 years.,Confidentiality,Confidentiality,False,confidential information,9,0.4,0.78,0.45,0.29,46.7,Medium,Train,Synthetic
